Malaysia & Singapore,New,Order,Family,Full Location,Date,ID,Location,Rarity,Fam,Freq,Features,Key,Category 1,Category 2,Photo,SGroup
Black-naped Oriole,Yes,PASSERIFORMES,Old World Orioles,SG-PalauUbin-Aug-003,2026-08-10,6483,S-PUbin,C-003,,3,,2,,,,Stately Perchers
Black-naped Oriole,Yes,PASSERIFORMES,Old World Orioles,MY-TemanNegara-Aug-068,2026-08-10,6483,Mutiara,C-068,,3,,3,,,,Stately Perchers
White-breasted Woodswallow,Yes,PASSERIFORMES,"Woodswallows, Bellmagpies, and Allies",MY-SepilokRDC-Aug-139,2026-08-10,6509,Sepilok,I-139,,1,,1,Sepilok only,Infrequent,,Swifts & Nightjars
Large Woodshrike,Yes,PASSERIFORMES,"Vangas, Helmetshrikes, and Allies",MY-KL-FRIM-Aug-042,2026-08-17,6573,FRIM,C-042,New,2,,1,,,,Stately Perchers
Large Woodshrike,Yes,PASSERIFORMES,"Vangas, Helmetshrikes, and Allies",MY-SepilokRDC-Aug-125,2026-08-10,6573,Sepilok,I-125,New,2,,2,,,,Stately Perchers
Black-winged Flycatcher-shrike,Yes,PASSERIFORMES,"Vangas, Helmetshrikes, and Allies",MY-SepilokRDC-Aug-026,2026-08-10,6577,Sepilok,C-026,New,3,,1,,,,Stately Perchers
Black-winged Flycatcher-shrike,Yes,PASSERIFORMES,"Vangas, Helmetshrikes, and Allies",MY-KL-FRIM-Aug-066,2026-08-17,6577,FRIM,I-066,New,3,,2,,,,Stately Perchers
Black-winged Flycatcher-shrike,Yes,PASSERIFORMES,"Vangas, Helmetshrikes, and Allies",MY-TemanNegara-Aug-112,2026-08-10,6577,Mutiara,I-112,New,3,,3,,,,Stately Perchers
Rufous-winged Philentoma,Yes,PASSERIFORMES,"Vangas, Helmetshrikes, and Allies",MY-TemanNegara-Aug-008,2026-08-10,6578,Mutiara,C-008,New,2,,1,,,,Stately Perchers
Rufous-winged Philentoma,Yes,PASSERIFORMES,"Vangas, Helmetshrikes, and Allies",MY-SepilokRDC-Aug-099,2026-08-10,6578,Sepilok,C-099,New,2,,2,,,,Stately Perchers
Bornean Bristlehead,Yes,PASSERIFORMES,Bristlehead,MY-SepilokRDC-Aug-101,2026-08-10,6602,Sepilok,C-101,New,1,,1,Sepilok only,,,Others
Common Iora,Yes,PASSERIFORMES,Ioras,SG-SungeiBuloh-Aug-012,2026-08-10,6603,S-SBuloh,C-012,New,5,,1,Widespread,,,Reed & Leaf
Common Iora,Yes,PASSERIFORMES,Ioras,SG-PalauUbin-Aug-017,2026-08-10,6603,S-PUbin,C-017,New,5,,2,Widespread,,,Reed & Leaf
Common Iora,Yes,PASSERIFORMES,Ioras,MY-KL-FRIM-Aug-020,2026-08-17,6603,FRIM,C-020,New,5,,3,Widespread,,,Reed & Leaf
Common Iora,Yes,PASSERIFORMES,Ioras,MY-SepilokRDC-Aug-057,2026-08-10,6603,Sepilok,C-057,New,5,,4,Widespread,,,Reed & Leaf
Common Iora,Yes,PASSERIFORMES,Ioras,MY-TemanNegara-Aug-142,2026-08-10,6603,Mutiara,I-142,New,5,,5,Widespread,,,Reed & Leaf
Green Iora,Yes,PASSERIFORMES,Ioras,MY-SepilokRDC-Aug-017,2026-08-10,6605,Sepilok,C-017,New,1,,1,Sepilok only,,,Reed & Leaf
Spotted Fantail,Yes,PASSERIFORMES,Fantails,MY-TemanNegara-Aug-096,2026-08-10,6668,Mutiara,I-096,,1,,1,Mutiara only,Infrequent,,Stately Perchers
Malaysian Pied-Fantail,Yes,PASSERIFORMES,Fantails,MY-SepilokRDC-Aug-015,2026-08-10,6678,Sepilok,C-015,,4,"Dark above, white below. All white belly and plain back distinct amongst fantails in range.",1,,,,Stately Perchers
Malaysian Pied-Fantail,Yes,PASSERIFORMES,Fantails,SG-PalauUbin-Aug-019,2026-08-10,6678,S-PUbin,C-019,,4,,2,,,,Stately Perchers
Malaysian Pied-Fantail,Yes,PASSERIFORMES,Fantails,SG-SungeiBuloh-Aug-019,2026-08-10,6678,S-SBuloh,C-019,,4,,3,,,,Stately Perchers
Malaysian Pied-Fantail,Yes,PASSERIFORMES,Fantails,MY-KL-FRIM-Aug-025,2026-08-17,6678,FRIM,C-025,,4,,4,,,,Stately Perchers
Bronzed Drongo,Yes,PASSERIFORMES,Drongos,MY-TemanNegara-Aug-080,2026-08-10,6734,Mutiara,C-080,,1,,1,Mutiara only,,,Stately Perchers
Greater Racket-tailed Drongo,Yes,PASSERIFORMES,Drongos,MY-TemanNegara-Aug-002,2026-08-10,6747,Mutiara,C-002,,5,,1,Widespread,,,Stately Perchers
Greater Racket-tailed Drongo,Yes,PASSERIFORMES,Drongos,MY-SepilokRDC-Aug-014,2026-08-10,6747,Sepilok,C-014,,5,,2,Widespread,,,Stately Perchers
Greater Racket-tailed Drongo,Yes,PASSERIFORMES,Drongos,SG-SungeiBuloh-Aug-024,2026-08-10,6747,S-SBuloh,C-024,,5,,3,Widespread,,,Stately Perchers
Greater Racket-tailed Drongo,Yes,PASSERIFORMES,Drongos,MY-KL-FRIM-Aug-026,2026-08-17,6747,FRIM,C-026,,5,,4,Widespread,,,Stately Perchers
Greater Racket-tailed Drongo,Yes,PASSERIFORMES,Drongos,SG-PalauUbin-Aug-083,2026-08-10,6747,S-PUbin,I-083,,5,,5,Widespread,,,Stately Perchers
Black-naped Monarch,No,PASSERIFORMES,Monarch Flycatchers,MY-TemanNegara-Aug-023,2026-08-10,6797,Mutiara,C-023,,2,,1,,,Yes,Stately Perchers
Black-naped Monarch,No,PASSERIFORMES,Monarch Flycatchers,MY-SepilokRDC-Aug-055,2026-08-10,6797,Sepilok,C-055,,2,,2,,,Yes,Stately Perchers
Blyth's Paradise-Flycatcher,Yes,PASSERIFORMES,Monarch Flycatchers,MY-TemanNegara-Aug-076,2026-08-10,6804,Mutiara,C-076,,2,,1,,,,Stately Perchers
Blyth's Paradise-Flycatcher,Yes,PASSERIFORMES,Monarch Flycatchers,MY-SepilokRDC-Aug-153,2026-08-10,6804,Sepilok,I-153,,2,,2,,,,Stately Perchers
Crested Jayshrike,Yes,PASSERIFORMES,Crested Jayshrike,MY-TemanNegara-Aug-072,2026-08-10,6903,Mutiara,C-072,New,1,,1,Mutiara only,,,Stately Perchers
Long-tailed Shrike,Yes,PASSERIFORMES,Shrikes,SG-PalauUbin-Aug-037,2026-08-10,6915,S-PUbin,C-037,,1,,1,Sing only,,,Stately Perchers
Malayan Black Magpie,Yes,PASSERIFORMES,"Crows, Jays, and Magpies",MY-TemanNegara-Aug-027,2026-08-10,6938,Mutiara,C-027,,2,,1,,,,Stately Perchers
Malayan Black Magpie,Yes,PASSERIFORMES,"Crows, Jays, and Magpies",MY-KL-FRIM-Aug-093,2026-08-17,6938,FRIM,I-093,,2,,2,,,,Stately Perchers
Bornean Black Magpie,Yes,PASSERIFORMES,"Crows, Jays, and Magpies",MY-SepilokRDC-Aug-053,2026-08-10,6939,Sepilok,C-053,,1,,1,Sepilok only,,,Stately Perchers
House Crow,No,PASSERIFORMES,"Crows, Jays, and Magpies",SG-PalauUbin-Aug-005,2026-08-10,7026,S-PUbin,C-005,,3,,1,,,,Stately Perchers
House Crow,No,PASSERIFORMES,"Crows, Jays, and Magpies",SG-SungeiBuloh-Aug-006,2026-08-10,7026,S-SBuloh,C-006,,3,,2,,,,Stately Perchers
House Crow,No,PASSERIFORMES,"Crows, Jays, and Magpies",MY-KL-FRIM-Aug-010,2026-08-17,7026,FRIM,C-010,,3,,3,,,,Stately Perchers
Sunda Crow,Yes,PASSERIFORMES,"Crows, Jays, and Magpies",MY-SepilokRDC-Aug-064,2026-08-10,7029,Sepilok,C-064,,2,,1,,,,Stately Perchers
Sunda Crow,Yes,PASSERIFORMES,"Crows, Jays, and Magpies",MY-TemanNegara-Aug-103,2026-08-10,7029,Mutiara,I-103,,2,,2,,,,Stately Perchers
Large-billed Crow,No,PASSERIFORMES,"Crows, Jays, and Magpies",MY-TemanNegara-Aug-052,2026-08-10,7058,Mutiara,C-052,,4,,1,,,Yes,Stately Perchers
Large-billed Crow,No,PASSERIFORMES,"Crows, Jays, and Magpies",SG-PalauUbin-Aug-055,2026-08-10,7058,S-PUbin,C-055,,4,,2,,,Yes,Stately Perchers
Large-billed Crow,No,PASSERIFORMES,"Crows, Jays, and Magpies",SG-SungeiBuloh-Aug-075,2026-08-10,7058,S-SBuloh,C-075,,4,,3,,,Yes,Stately Perchers
Large-billed Crow,No,PASSERIFORMES,"Crows, Jays, and Magpies",MY-KL-FRIM-Aug-060,2026-08-17,7058,FRIM,I-060,,4,,4,,,Yes,Stately Perchers
Malaysian Rail-babbler,Yes,PASSERIFORMES,Rail-babbler,MY-TemanNegara-Aug-062,2026-08-10,7150,Mutiara,C-062,New,1,,1,Mutiara only,,,Others
Gray-headed Canary-Flycatcher,Yes,PASSERIFORMES,Fairy Flycatchers,MY-TemanNegara-Aug-118,2026-08-10,7162,Mutiara,I-118,New,1,,1,Mutiara only,,,Stately Perchers
Common Tailorbird,Yes,PASSERIFORMES,Cisticolas and Allies,SG-PalauUbin-Aug-018,2026-08-10,7418,S-PUbin,C-018,,4,,1,,,,Reed & Leaf
Common Tailorbird,Yes,PASSERIFORMES,Cisticolas and Allies,MY-KL-FRIM-Aug-019,2026-08-17,7418,FRIM,C-019,,4,,2,,,,Reed & Leaf
Common Tailorbird,Yes,PASSERIFORMES,Cisticolas and Allies,SG-SungeiBuloh-Aug-025,2026-08-10,7418,S-SBuloh,C-025,,4,,3,,,,Reed & Leaf
Common Tailorbird,Yes,PASSERIFORMES,Cisticolas and Allies,MY-TemanNegara-Aug-029,2026-08-10,7418,Mutiara,C-029,,4,,4,,,,Reed & Leaf
Dark-necked Tailorbird,Yes,PASSERIFORMES,Cisticolas and Allies,SG-SungeiBuloh-Aug-036,2026-08-10,7420,S-SBuloh,C-036,,5,,1,Widespread,,,Reed & Leaf
Dark-necked Tailorbird,Yes,PASSERIFORMES,Cisticolas and Allies,MY-KL-FRIM-Aug-041,2026-08-17,7420,FRIM,C-041,,5,,2,Widespread,,,Reed & Leaf
Dark-necked Tailorbird,Yes,PASSERIFORMES,Cisticolas and Allies,SG-PalauUbin-Aug-061,2026-08-10,7420,S-PUbin,C-061,,5,,3,Widespread,,,Reed & Leaf
Dark-necked Tailorbird,Yes,PASSERIFORMES,Cisticolas and Allies,MY-SepilokRDC-Aug-070,2026-08-10,7420,Sepilok,C-070,,5,,4,Widespread,,,Reed & Leaf
Dark-necked Tailorbird,Yes,PASSERIFORMES,Cisticolas and Allies,MY-TemanNegara-Aug-105,2026-08-10,7420,Mutiara,I-105,,5,,5,Widespread,,,Reed & Leaf
Ashy Tailorbird,Yes,PASSERIFORMES,Cisticolas and Allies,MY-SepilokRDC-Aug-001,2026-08-10,7422,Sepilok,C-001,,3,,1,,,,Reed & Leaf
Ashy Tailorbird,Yes,PASSERIFORMES,Cisticolas and Allies,SG-PalauUbin-Aug-016,2026-08-10,7422,S-PUbin,C-016,,3,,2,,,,Reed & Leaf
Ashy Tailorbird,Yes,PASSERIFORMES,Cisticolas and Allies,SG-SungeiBuloh-Aug-016,2026-08-10,7422,S-SBuloh,C-016,,3,,3,,,,Reed & Leaf
Rufous-tailed Tailorbird,Yes,PASSERIFORMES,Cisticolas and Allies,MY-SepilokRDC-Aug-034,2026-08-10,7424,Sepilok,C-034,,4,,1,,,,Reed & Leaf
Rufous-tailed Tailorbird,Yes,PASSERIFORMES,Cisticolas and Allies,SG-SungeiBuloh-Aug-061,2026-08-10,7424,S-SBuloh,C-061,,4,,2,,,,Reed & Leaf
Rufous-tailed Tailorbird,Yes,PASSERIFORMES,Cisticolas and Allies,MY-TemanNegara-Aug-070,2026-08-10,7424,Mutiara,C-070,,4,,3,,,,Reed & Leaf
Rufous-tailed Tailorbird,Yes,PASSERIFORMES,Cisticolas and Allies,MY-KL-FRIM-Aug-089,2026-08-17,7424,FRIM,I-089,,4,,4,,,,Reed & Leaf
Rufescent Prinia,Yes,PASSERIFORMES,Cisticolas and Allies,MY-KL-FRIM-Aug-067,2026-08-17,7441,FRIM,I-067,,2,,1,,Infrequent,,Reed & Leaf
Rufescent Prinia,Yes,PASSERIFORMES,Cisticolas and Allies,MY-TemanNegara-Aug-168,2026-08-10,7441,Mutiara,I-168,,2,,2,,Infrequent,,Reed & Leaf
Yellow-bellied Prinia,No,PASSERIFORMES,Cisticolas and Allies,SG-PalauUbin-Aug-039,2026-08-10,7447,S-PUbin,C-039,,4,,1,,,Yes,Reed & Leaf
Yellow-bellied Prinia,No,PASSERIFORMES,Cisticolas and Allies,SG-SungeiBuloh-Aug-060,2026-08-10,7447,S-SBuloh,C-060,,4,,2,,,Yes,Reed & Leaf
Yellow-bellied Prinia,No,PASSERIFORMES,Cisticolas and Allies,MY-SepilokRDC-Aug-098,2026-08-10,7447,Sepilok,C-098,,4,,3,,,Yes,Reed & Leaf
Yellow-bellied Prinia,No,PASSERIFORMES,Cisticolas and Allies,MY-TemanNegara-Aug-123,2026-08-10,7447,Mutiara,I-123,,4,,4,,,Yes,Reed & Leaf
Zitting Cisticola,No,PASSERIFORMES,Cisticolas and Allies,SG-SungeiBuloh-Aug-085,2026-08-10,7510,S-SBuloh,I-085,,2,,1,Sing only,Infrequent,Yes,Reed & Leaf
Zitting Cisticola,No,PASSERIFORMES,Cisticolas and Allies,SG-PalauUbin-Aug-092,2026-08-10,7510,S-PUbin,I-092,,2,,2,Sing only,Infrequent,Yes,Reed & Leaf
Pacific Swallow,No,PASSERIFORMES,Swallows,SG-SungeiBuloh-Aug-007,2026-08-10,7720,S-SBuloh,C-007,,5,,1,Widespread,,Yes,Swifts & Nightjars
Pacific Swallow,No,PASSERIFORMES,Swallows,MY-KL-FRIM-Aug-009,2026-08-17,7720,FRIM,C-009,,5,,2,Widespread,,Yes,Swifts & Nightjars
Pacific Swallow,No,PASSERIFORMES,Swallows,MY-TemanNegara-Aug-009,2026-08-10,7720,Mutiara,C-009,,5,,3,Widespread,,Yes,Swifts & Nightjars
Pacific Swallow,No,PASSERIFORMES,Swallows,SG-PalauUbin-Aug-010,2026-08-10,7720,S-PUbin,C-010,,5,,4,Widespread,,Yes,Swifts & Nightjars
Pacific Swallow,No,PASSERIFORMES,Swallows,MY-SepilokRDC-Aug-012,2026-08-10,7720,Sepilok,C-012,,5,,5,Widespread,,Yes,Swifts & Nightjars
Barn Swallow,No,PASSERIFORMES,Swallows,SG-PalauUbin-Aug-069,2026-08-10,7725,S-PUbin,I-069,,4,,1,,Infrequent,Yes,Swifts & Nightjars
Barn Swallow,No,PASSERIFORMES,Swallows,MY-KL-FRIM-Aug-070,2026-08-17,7725,FRIM,I-070,,4,,2,,Infrequent,Yes,Swifts & Nightjars
Barn Swallow,No,PASSERIFORMES,Swallows,SG-SungeiBuloh-Aug-083,2026-08-10,7725,S-SBuloh,I-083,,4,,3,,Infrequent,Yes,Swifts & Nightjars
Barn Swallow,No,PASSERIFORMES,Swallows,MY-SepilokRDC-Aug-151,2026-08-10,7725,Sepilok,I-151,,4,,4,,Infrequent,Yes,Swifts & Nightjars
Hairy-backed Bulbul,Yes,PASSERIFORMES,Bulbuls,MY-TemanNegara-Aug-018,2026-08-10,7815,Mutiara,C-018,,2,,1,,,,Bulbul & Star
Hairy-backed Bulbul,Yes,PASSERIFORMES,Bulbuls,MY-SepilokRDC-Aug-072,2026-08-10,7815,Sepilok,C-072,,2,,2,,,,Bulbul & Star
Yellow-bellied Bulbul,Yes,PASSERIFORMES,Bulbuls,MY-TemanNegara-Aug-025,2026-08-10,7817,Mutiara,C-025,,1,,1,Mutiara only,,,Bulbul & Star
Gray-cheeked Bulbul,Yes,PASSERIFORMES,Bulbuls,MY-TemanNegara-Aug-061,2026-08-10,7819,Mutiara,C-061,,2,,1,,,,Bulbul & Star
Gray-cheeked Bulbul,Yes,PASSERIFORMES,Bulbuls,MY-SepilokRDC-Aug-085,2026-08-10,7819,Sepilok,C-085,,2,,2,,,,Bulbul & Star
Ochraceous Bulbul,Yes,PASSERIFORMES,Bulbuls,MY-TemanNegara-Aug-074,2026-08-10,7823,Mutiara,C-074,,1,,1,Mutiara only,,,Bulbul & Star
Finsch's Bulbul,Yes,PASSERIFORMES,Bulbuls,MY-TemanNegara-Aug-157,2026-08-10,7826,Mutiara,I-157,,1,,1,Mutiara only,Infrequent,,Bulbul & Star
Buff-vented Bulbul,Yes,PASSERIFORMES,Bulbuls,MY-TemanNegara-Aug-065,2026-08-10,7829,Mutiara,C-065,,1,,1,Mutiara only,,,Bulbul & Star
Charlotte's Bulbul,Yes,PASSERIFORMES,Bulbuls,MY-SepilokRDC-Aug-058,2026-08-10,7830,Sepilok,C-058,,1,,1,Sepilok only,,,Bulbul & Star
Streaked Bulbul,Yes,PASSERIFORMES,Bulbuls,MY-TemanNegara-Aug-081,2026-08-10,7840,Mutiara,C-081,,2,,1,,,,Bulbul & Star
Streaked Bulbul,Yes,PASSERIFORMES,Bulbuls,MY-SepilokRDC-Aug-124,2026-08-10,7840,Sepilok,I-124,,2,,2,,,,Bulbul & Star
Black-headed Bulbul,Yes,PASSERIFORMES,Bulbuls,MY-TemanNegara-Aug-043,2026-08-10,7872,Mutiara,C-043,,1,,1,Mutiara only,,,Bulbul & Star
Spectacled Bulbul,Yes,PASSERIFORMES,Bulbuls,MY-TemanNegara-Aug-017,2026-08-10,7875,Mutiara,C-017,,3,,1,,,,Bulbul & Star
Spectacled Bulbul,Yes,PASSERIFORMES,Bulbuls,MY-SepilokRDC-Aug-033,2026-08-10,7875,Sepilok,C-033,,3,,2,,,,Bulbul & Star
Spectacled Bulbul,Yes,PASSERIFORMES,Bulbuls,MY-KL-FRIM-Aug-047,2026-08-17,7875,FRIM,C-047,,3,,3,,,,Bulbul & Star
Gray-bellied Bulbul,Yes,PASSERIFORMES,Bulbuls,MY-TemanNegara-Aug-135,2026-08-10,7876,Mutiara,I-135,,2,,1,,,,Bulbul & Star
Gray-bellied Bulbul,Yes,PASSERIFORMES,Bulbuls,MY-SepilokRDC-Aug-140,2026-08-10,7876,Sepilok,I-140,,2,,2,,,,Bulbul & Star
Scaly-breasted Bulbul,Yes,PASSERIFORMES,Bulbuls,MY-TemanNegara-Aug-177,2026-08-10,7877,Mutiara,I-177,,1,,1,Mutiara only,,,Bulbul & Star
Black-crested Bulbul,Yes,PASSERIFORMES,Bulbuls,MY-KL-FRIM-Aug-083,2026-08-17,7878,FRIM,I-083,,1,,1,FRIM only,,,Bulbul & Star
Cream-vented Bulbul,Yes,PASSERIFORMES,Bulbuls,MY-SepilokRDC-Aug-052,2026-08-10,7887,Sepilok,C-052,,3,,1,,,,Bulbul & Star
Cream-vented Bulbul,Yes,PASSERIFORMES,Bulbuls,MY-TemanNegara-Aug-066,2026-08-10,7887,Mutiara,C-066,,3,,2,,,,Bulbul & Star
Cream-vented Bulbul,Yes,PASSERIFORMES,Bulbuls,SG-SungeiBuloh-Aug-125,2026-08-10,7887,S-SBuloh,I-125,,3,,3,,,,Bulbul & Star
Olive-winged Bulbul,Yes,PASSERIFORMES,Bulbuls,MY-SepilokRDC-Aug-021,2026-08-10,7888,Sepilok,C-021,,5,,1,,,,Bulbul & Star
Olive-winged Bulbul,Yes,PASSERIFORMES,Bulbuls,SG-SungeiBuloh-Aug-027,2026-08-10,7888,S-SBuloh,C-027,,5,,2,,,,Bulbul & Star
Olive-winged Bulbul,Yes,PASSERIFORMES,Bulbuls,SG-PalauUbin-Aug-041,2026-08-10,7888,S-PUbin,C-041,,5,,3,,,,Bulbul & Star
Olive-winged Bulbul,Yes,PASSERIFORMES,Bulbuls,MY-KL-FRIM-Aug-080,2026-08-17,7888,FRIM,I-080,,5,,4,,,,Bulbul & Star
Olive-winged Bulbul,Yes,PASSERIFORMES,Bulbuls,MY-TemanNegara-Aug-151,2026-08-10,7888,Mutiara,I-151,,5,,5,,,,Bulbul & Star
Red-eyed Bulbul,Yes,PASSERIFORMES,Bulbuls,MY-SepilokRDC-Aug-003,2026-08-10,7889,Sepilok,C-003,,4,,1,,,,Bulbul & Star
Red-eyed Bulbul,Yes,PASSERIFORMES,Bulbuls,MY-TemanNegara-Aug-014,2026-08-10,7889,Mutiara,C-014,,4,,2,,,,Bulbul & Star
Red-eyed Bulbul,Yes,PASSERIFORMES,Bulbuls,MY-KL-FRIM-Aug-018,2026-08-17,7889,FRIM,C-018,,4,,3,,,,Bulbul & Star
Red-eyed Bulbul,Yes,PASSERIFORMES,Bulbuls,SG-SungeiBuloh-Aug-067,2026-08-10,7889,S-SBuloh,C-067,,4,,4,,,,Bulbul & Star
Straw-headed Bulbul,Yes,PASSERIFORMES,Bulbuls,SG-SungeiBuloh-Aug-040,2026-08-10,7890,S-SBuloh,C-040,,4,,1,,,,Bulbul & Star
Straw-headed Bulbul,Yes,PASSERIFORMES,Bulbuls,MY-KL-FRIM-Aug-046,2026-08-17,7890,FRIM,C-046,,4,,2,,,,Bulbul & Star
Straw-headed Bulbul,Yes,PASSERIFORMES,Bulbuls,SG-PalauUbin-Aug-052,2026-08-10,7890,S-PUbin,C-052,,4,,3,,,,Bulbul & Star
Straw-headed Bulbul,Yes,PASSERIFORMES,Bulbuls,MY-TemanNegara-Aug-141,2026-08-10,7890,Mutiara,I-141,,4,,4,,,,Bulbul & Star
Stripe-throated Bulbul,Yes,PASSERIFORMES,Bulbuls,MY-TemanNegara-Aug-005,2026-08-10,7897,Mutiara,C-005,,2,,1,,,,Bulbul & Star
Stripe-throated Bulbul,Yes,PASSERIFORMES,Bulbuls,MY-KL-FRIM-Aug-015,2026-08-17,7897,FRIM,C-015,,2,,2,,,,Bulbul & Star
Red-whiskered Bulbul,No,PASSERIFORMES,Bulbuls,SG-PalauUbin-Aug-066,2026-08-10,7908,S-PUbin,I-066,,3,,1,,Infrequent,Yes,Bulbul & Star
Red-whiskered Bulbul,No,PASSERIFORMES,Bulbuls,MY-KL-FRIM-Aug-098,2026-08-17,7908,FRIM,I-098,,3,,2,,Infrequent,Yes,Bulbul & Star
Red-whiskered Bulbul,No,PASSERIFORMES,Bulbuls,SG-SungeiBuloh-Aug-101,2026-08-10,7908,S-SBuloh,I-101,,3,,3,,Infrequent,Yes,Bulbul & Star
Yellow-vented Bulbul,Yes,PASSERIFORMES,Bulbuls,SG-PalauUbin-Aug-002,2026-08-10,7909,S-PUbin,C-002,,5,,1,Widespread,,,Bulbul & Star
Yellow-vented Bulbul,Yes,PASSERIFORMES,Bulbuls,SG-SungeiBuloh-Aug-002,2026-08-10,7909,S-SBuloh,C-002,,5,,2,Widespread,,,Bulbul & Star
Yellow-vented Bulbul,Yes,PASSERIFORMES,Bulbuls,MY-KL-FRIM-Aug-004,2026-08-17,7909,FRIM,C-004,,5,,3,Widespread,,,Bulbul & Star
Yellow-vented Bulbul,Yes,PASSERIFORMES,Bulbuls,MY-SepilokRDC-Aug-004,2026-08-10,7909,Sepilok,C-004,,5,,4,Widespread,,,Bulbul & Star
Yellow-vented Bulbul,Yes,PASSERIFORMES,Bulbuls,MY-TemanNegara-Aug-016,2026-08-10,7909,Mutiara,C-016,,5,,5,Widespread,,,Bulbul & Star
Sooty-headed Bulbul,Yes,PASSERIFORMES,Bulbuls,SG-PalauUbin-Aug-050,2026-08-10,7911,S-PUbin,C-050,,1,,1,Sing only,,,Bulbul & Star
Swinhoe's White-eye,No,PASSERIFORMES,"White-eyes, Yuhinas, and Allies",SG-PalauUbin-Aug-034,2026-08-10,8160,S-PUbin,C-034,,1,,1,Sing only,,Yes,Reed & Leaf
Pin-striped Tit-Babbler,Yes,PASSERIFORMES,"Tree-Babblers, Scimitar-Babblers, and Allies",SG-SungeiBuloh-Aug-014,2026-08-10,8271,S-SBuloh,C-014,New,4,,1,,,,Babblers
Pin-striped Tit-Babbler,Yes,PASSERIFORMES,"Tree-Babblers, Scimitar-Babblers, and Allies",MY-KL-FRIM-Aug-028,2026-08-17,8271,FRIM,C-028,New,4,,2,,,,Babblers
Pin-striped Tit-Babbler,Yes,PASSERIFORMES,"Tree-Babblers, Scimitar-Babblers, and Allies",MY-TemanNegara-Aug-032,2026-08-10,8271,Mutiara,C-032,New,4,,3,,,,Babblers
Pin-striped Tit-Babbler,Yes,PASSERIFORMES,"Tree-Babblers, Scimitar-Babblers, and Allies",SG-PalauUbin-Aug-091,2026-08-10,8271,S-PUbin,I-091,New,4,,4,,,,Babblers
Bold-striped Tit-Babbler,Yes,PASSERIFORMES,"Tree-Babblers, Scimitar-Babblers, and Allies",MY-SepilokRDC-Aug-128,2026-08-10,8272,Sepilok,I-128,New,1,,1,Sepilok only,Infrequent,,Babblers
Fluffy-backed Tit-Babbler,Yes,PASSERIFORMES,"Tree-Babblers, Scimitar-Babblers, and Allies",MY-SepilokRDC-Aug-122,2026-08-10,8273,Sepilok,I-122,New,2,,1,,Infrequent,,Babblers
Fluffy-backed Tit-Babbler,Yes,PASSERIFORMES,"Tree-Babblers, Scimitar-Babblers, and Allies",MY-TemanNegara-Aug-122,2026-08-10,8273,Mutiara,I-122,New,2,,2,,Infrequent,,Babblers
Chestnut-winged Babbler,Yes,PASSERIFORMES,"Tree-Babblers, Scimitar-Babblers, and Allies",MY-TemanNegara-Aug-003,2026-08-10,8276,Mutiara,C-003,New,1,,1,Mutiara only,,,Babblers
Gray-hooded Babbler,Yes,PASSERIFORMES,"Tree-Babblers, Scimitar-Babblers, and Allies",MY-SepilokRDC-Aug-044,2026-08-10,8277,Sepilok,C-044,New,1,,1,Sepilok only,,,Babblers
Sunda Scimitar-Babbler,Yes,PASSERIFORMES,"Tree-Babblers, Scimitar-Babblers, and Allies",MY-TemanNegara-Aug-077,2026-08-10,8301,Mutiara,C-077,New,1,,1,Mutiara only,,,Babblers
Black-throated Babbler,Yes,PASSERIFORMES,"Tree-Babblers, Scimitar-Babblers, and Allies",MY-TemanNegara-Aug-058,2026-08-10,8310,Mutiara,C-058,New,1,,1,Mutiara only,,,Babblers
Chestnut-rumped Babbler,Yes,PASSERIFORMES,"Tree-Babblers, Scimitar-Babblers, and Allies",MY-TemanNegara-Aug-046,2026-08-10,8312,Mutiara,C-046,New,1,,1,Mutiara only,,,Babblers
Large Wren-Babbler,Yes,PASSERIFORMES,Ground Babblers and Allies,MY-TemanNegara-Aug-044,2026-08-10,8325,Mutiara,C-044,New,1,,1,Mutiara only,,,Babblers
Sooty-capped Babbler,Yes,PASSERIFORMES,Ground Babblers and Allies,MY-TemanNegara-Aug-011,2026-08-10,8328,Mutiara,C-011,New,1,,1,Mutiara only,,,Babblers
Scaly-crowned Babbler,Yes,PASSERIFORMES,Ground Babblers and Allies,MY-TemanNegara-Aug-036,2026-08-10,8330,Mutiara,C-036,New,1,,1,Mutiara only,,,Babblers
Rufous-crowned Babbler,Yes,PASSERIFORMES,Ground Babblers and Allies,MY-TemanNegara-Aug-028,2026-08-10,8331,Mutiara,C-028,New,1,,1,Mutiara only,,,Babblers
Moustached Babbler,Yes,PASSERIFORMES,Ground Babblers and Allies,MY-TemanNegara-Aug-030,2026-08-10,8332,Mutiara,C-030,New,1,,1,Mutiara only,,,Babblers
Malayan Black-capped Babbler,Yes,PASSERIFORMES,Ground Babblers and Allies,MY-TemanNegara-Aug-057,2026-08-10,8346,Mutiara,C-057,New,1,,1,Mutiara only,,,Babblers
Bornean Black-capped Babbler,Yes,PASSERIFORMES,Ground Babblers and Allies,MY-SepilokRDC-Aug-067,2026-08-10,8347,Sepilok,C-067,New,1,,1,Sepilok only,,,Babblers
Short-tailed Babbler,Yes,PASSERIFORMES,Ground Babblers and Allies,MY-TemanNegara-Aug-097,2026-08-10,8349,Mutiara,I-097,New,3,,1,,Infrequent,,Babblers
