Category,Subcategory,Name,Scientific name,Observed,Site,Obs Count
Butterflies,Flat Skippers,Pied Flat,Tagiades japetus,No,S-MalRes,40
Butterflies,Leafwings,Plain Nawab,Polyura hebe,No,S-SBuloh,10
Butterflies,Satyrs,Palm King,Amathusia phidippus,No,S-PUbin,5
Mammals,,Greater Oriental Chevrotain,Tragulus napu,No,S-PUbin,14
Snakes,,Brown Whip Snake,Dryophiops rubescens,No,S-PUbin,4
Butterflies,Leafwings,Plain Nawab,Polyura hebe,No,S-MalRes,72
Butterflies,Satyrs,Palm King,Amathusia phidippus,No,S-SBuloh,5
Butterflies,Hairstreaks,Plain Plushblue,Flos apidanus,No,S-PUbin,9
Butterflies,Hairstreaks,Aberrant Oakblue,Arhopala abseus,No,S-MalRes,14
Butterflies,Hairstreaks,Scarlet Flash,Rapala dieneces,No,S-MalRes,14
Butterflies,Hairstreaks,Plain Plushblue,Flos apidanus,No,S-MalRes,20
Butterflies,Satyrs,Palm King,Amathusia phidippus,No,S-MalRes,4
Lizards,,Banded Lipinia,Lipinia vittigera,No,S-MalRes,14
Butterflies,Swallowtails,Red Marked Clubtail,Losaria doubledayi,No,Mutiara,14
Lizards,,Five-lined Flying Dragon,Draco quinquefasciatus,No,Sepilok,3
Frogs & Toads,,Large White-lipped Frog,Hylarana megalonesa,No,Sepilok,13
Flowers,,Toothbrush Orchid,Dendrobium secundum,No,Sepilok,13
Butterflies,Satyrs,Malayan Six-Ring,Ypthima fasciata,No,Sepilok,8
Butterflies,Milkweed,Plain Tiger Butterfly,Danaus chrysippus,No,S-PUbin,32
Butterflies,Grass Skippers,Common Banded Demon,Notocrypta paralysos,No,S-PUbin,5
Butterflies,Milkweed,Plain Tiger Butterfly,Danaus chrysippus,No,S-MalRes,4
Butterflies,Blues,Pointed Ciliate Blue,Anthene lycaenina,No,S-MalRes,3
Butterflies,Grass Skippers,Formosan Swift,Borbo cinnara,Yes,S-MalRes,13
Butterflies,Blues,Pointed Ciliate Blue,Anthene lycaenina,No,Mutiara,4
Butterflies,Grass Skippers,Common Banded Demon,Notocrypta paralysos,No,S-MalRes,8
Butterflies,Milkweed,Purple Crow Butterfly,Euploea tulliolus,Yes,S-PUbin,40
Lizards,,Five-lined Flying Dragon,Draco quinquefasciatus,No,S-MalRes,6
Dragonflies,,Chalky Percher,Diplacodes trivialis,Yes,S-MalRes,13
Damselflies,,Collared Threadtail,Prodasineura collaris,No,S-MalRes,10
Butterflies,Satyrs,Malayan Six-Ring,Ypthima fasciata,No,Mutiara,5
Lizards,,Five-lined Flying Dragon,Draco quinquefasciatus,No,Mutiara,4
Damselflies,,Collared Threadtail,Prodasineura collaris,No,Perdana,3
Mammals,,Maroon Leaf Monkey,Presbytis rubicunda,No,Sepilok,12
Lizards,,White-banded Narrow-disked Gecko,Gekko albofasciolatus,No,Sepilok,12
Butterflies,Swallowtails,Malayan Birdwing,Troides amphrysus,No,Sepilok,3
Butterflies,Grass Skippers,Coconut Skipper,Hidari irava,No,S-PUbin,12
Butterflies,Emperors,Purple Duke,Eulaceura osteria,No,S-MalRes,32
Butterflies,Swallowtails,Common Jay,Graphium doson,No,S-PUbin,8
Butterflies,Swallowtails,Lime Swallowtail,Papilio demoleus,No,S-MalRes,12
Butterflies,Admirals,Colour Sergeant,Athyma nefte,No,S-MalRes,12
Butterflies,Admirals,Burmese Lascar,Lasippa heliodore,No,S-MalRes,12
Butterflies,Emperors,Purple Duke,Eulaceura osteria,No,Mutiara,3
Butterflies,Blues,Quaker,Neopithecops zalmora,No,S-MalRes,6
Butterflies,Hairstreaks,Rosy Oakblue,Arhopala allata,No,S-MalRes,9
Lizards,,Mourning Gecko,Lepidodactylus lugubris,No,S-MalRes,12
Dragonflies,,Handsome Grenadier,Agrionoptera sexlineata,No,S-MalRes,12
Butterflies,Admirals,Great Marquis,Bassarona dunya,No,Mutiara,12
Butterflies,Swallowtails,Malayan Birdwing,Troides amphrysus,No,Mutiara,9
Butterflies,Frits & Longwings,Royal Assyrian,Terinos terpander,No,S-MalRes,38
Butterflies,Swallowtails,Common Jay,Graphium doson,No,Mutiara,4
Mammals,,Southern Red Muntjac,Muntiacus muntjak,No,Mutiara,12
Butterflies,Frits & Longwings,Royal Assyrian,Terinos terpander,No,Mutiara,8
Butterflies,Frits & Longwings,Rustic,Cupha erymanthis,No,Sepilok,7
Snakes,,Eight-striped Kukri Snake,Oligodon octolineatus,No,Sepilok,3
Lizards,,Borneo Bow-fingered Gecko,Cyrtodactylus malayanus,No,Sepilok,11
Frogs & Toads,,File-eared Tree Frog,Polypedates otilophus,No,Sepilok,11
Damselflies,,Xiphiagrion cyanomelas,Xiphiagrion cyanomelas,No,Sepilok,11
Butterflies,Frits & Longwings,Rustic,Cupha erymanthis,No,S-PUbin,47
Butterflies,Hairstreaks,Indigo Flash,Rapala varuna,No,S-PUbin,5
Butterflies,Frits & Longwings,Rustic,Cupha erymanthis,No,S-SBuloh,12
Dragonflies,,Pond Cruiser,Epophthalmia vittigera,No,S-PUbin,3
Dragonflies,,Pond Cruiser,Epophthalmia vittigera,No,S-SBuloh,8
Butterflies,Satyrs,Purple Bushbrown,Mycalesis orseis,No,S-MalRes,11
Butterflies,Frits & Longwings,Rustic,Cupha erymanthis,No,S-MalRes,18
Butterflies,Hairstreaks,Indigo Flash,Rapala varuna,No,S-MalRes,6
Butterflies,Frits & Longwings,Rustic,Cupha erymanthis,No,Mutiara,5
Snakes,,Eight-striped Kukri Snake,Oligodon octolineatus,No,S-MalRes,8
Frogs & Toads,,Dark-sided Chorus Frog,Microhyla heymonsi,No,S-MalRes,8
Damselflies,,Dwarf Wisp,Agriocnemis nana,No,S-MalRes,11
Butterflies,Hairstreaks,Shining Plushblue,Flos fulgida,No,S-MalRes,8
Frogs & Toads,,Dark-sided Chorus Frog,Microhyla heymonsi,No,Mutiara,3
Butterflies,Blues,Straight Pierrot,Caleta roxus,No,Mutiara,8
Butterflies,Blues,Pea Blue,Lampides boeticus,Yes,S-PUbin,7
Mammals,,Southern Palm Civet,Paradoxurus musanga,No,S-PUbin,3
Mammals,,Smooth-coated Otter,Lutra perspicillata,No,S-PUbin,3
Butterflies,Blues,Pea Blue,Lampides boeticus,Yes,S-SBuloh,3
Butterflies,Hairstreaks,Scarce Silverstreak Blue,Iraota rochana,No,S-SBuloh,3
Mammals,,Southern Palm Civet,Paradoxurus musanga,No,S-SBuloh,4
Butterflies,Blues,Straight Pierrot,Caleta roxus,No,Perdana,4
Butterflies,Flat Skippers,Suffused Snow Flat,Tagiades gana,No,S-MalRes,51
Butterflies,Hairstreaks,Scarce Silverstreak Blue,Iraota rochana,No,S-MalRes,7
Frogs & Toads,,Asian Painted Frog,Kaloula pulchra,No,S-MalRes,7
Mammals,,Smooth-coated Otter,Lutra perspicillata,No,S-MalRes,7
Mammals,,Southern Palm Civet,Paradoxurus musanga,No,S-MalRes,3
Damselflies,,Marsh Dancer,Onychargia atrocyana,No,S-MalRes,10
Frogs & Toads,,Asian Painted Frog,Kaloula pulchra,No,Mutiara,3
Butterflies,Grass Skippers,Bright Red Velvet Bob,Koruthaialos sindu,No,Sepilok,3
Butterflies,Sunbeams,Sumatran Sunbeam,Curetis saronis,No,S-PUbin,34
Frogs & Toads,,Guenther's Frog,Hylarana guentheri,No,S-SBuloh,9
Dragonflies,,Red Glider,Tramea transmarina,No,S-SBuloh,4
Butterflies,Grass Skippers,Little Branded Swift,Pelopidas agna,No,S-MalRes,9
Butterflies,Hairstreaks,Acacia Blue,Surendra vivarna,No,S-MalRes,9
Butterflies,Admirals,Malay Staff Sergeant,Athyma reta,No,S-MalRes,9
Butterflies,Hairstreaks,Tailed Disc Oakblue,Arhopala atosia,No,S-MalRes,9
Butterflies,Sunbeams,Sumatran Sunbeam,Curetis saronis,No,S-SBuloh,49
Butterflies,Frits & Longwings,Tawny Coster,Acraea terpsicore,No,S-PUbin,3
Butterflies,Swallowtails,Five-bar Swordtail,Graphium antiphates,No,S-MalRes,6
Butterflies,Frits & Longwings,Tawny Coster,Acraea terpsicore,No,S-MalRes,21
Snakes,,Banded Malaysian Coralsnake,Calliophis intestinalis,No,S-MalRes,9
Lizards,,Rough-scaled Sun Skink,Eutropis rugifera,No,S-MalRes,5
Frogs & Toads,,Blyth's River Frog,Limnonectes blythii,No,S-MalRes,9
Dragonflies,,Stream Cruiser,Macromia cincta,No,S-MalRes,9
Dragonflies,,Red Glider,Tramea transmarina,No,S-MalRes,5
Butterflies,Swallowtails,Five-bar Swordtail,Graphium antiphates,No,Mutiara,3
Lizards,,Rough-scaled Sun Skink,Eutropis rugifera,No,Mutiara,4
Butterflies,Grass Skippers,Bright Red Velvet Bob,Koruthaialos sindu,No,Perdana,6
Mammals,,Lesser Treeshrew,Tupaia minor,No,Sepilok,8
Snakes,,Blue-necked Keelback,Rhabdophis rhodomelas,No,Sepilok,4
Flowers,,Dove Flower,Dendrobium crumenatum,No,Sepilok,5
Damselflies,,Rhinocypha humeralis,Rhinocypha humeralis,No,Sepilok,8
Dragonflies,,Red Percher,Neurothemis ramburii,No,Sepilok,8
Butterflies,Blues,Silver Forget-Me-Not,Catochrysops panormus,No,S-PUbin,8
Butterflies,Satyrs,Common Evening Brown,Melanitis leda,Yes,S-PUbin,5
Butterflies,Blues,Malayan,Megisba malaya,Yes,S-PUbin,4
Butterflies,Satyrs,Tawny Palmfly,Elymnias panthera,No,S-SBuloh,13
Butterflies,Satyrs,Tawny Palmfly,Elymnias panthera,No,S-MalRes,12
Butterflies,Grass Skippers,Hoary Palmer,Unkana ambasa,No,S-PUbin,3
Butterflies,Hairstreaks,The Red Edge,Semanga superba,No,S-MalRes,9
Butterflies,Grass Skippers,Hoary Palmer,Unkana ambasa,No,S-SBuloh,5
Butterflies,Blues,Malayan,Megisba malaya,Yes,S-SBuloh,4
Butterflies,Satyrs,Common Evening Brown,Melanitis leda,Yes,S-SBuloh,3
Butterflies,Yellows & Sulphurs,Three-spotted Grass Yellow,Eurema blanda,No,S-PUbin,13
Butterflies,Blues,Tiny Grass Blue,Zizula hylax,No,S-PUbin,7
Butterflies,Blues,Tiny Grass Blue,Zizula hylax,No,S-MalRes,26
Snakes,,Malayan Whipsnake,Ahaetulla mycterizans,No,S-MalRes,8
Snakes,,Haas's Bronzeback,Dendrelaphis haasi,No,S-MalRes,8
Snakes,,Blue-necked Keelback,Rhabdophis rhodomelas,No,S-MalRes,4
Frogs & Toads,,Greenhouse Frog,Eleutherodactylus planirostris,No,S-MalRes,8
Frogs & Toads,,Side-spotted Swamp Frog,Hylarana laterimaculata,No,S-MalRes,8
Flowers,,Dove Flower,Dendrobium crumenatum,No,S-MalRes,3
Dragonflies,,Amber-winged Glider,Hydrobasileus croceus,No,S-MalRes,8
Dragonflies,,Wandering Glider,Pantala flavescens,Yes,S-MalRes,8
Butterflies,Metalmarks,Common Red Harlequin,Paralaxita telesia,No,Mutiara,8
Butterflies,Milkweed,Yellow Glassy Tiger,Parantica aspasia,No,Mutiara,4
Butterflies,Milkweed,Yellow Glassy Tiger,Parantica aspasia,No,Perdana,4
Lizards,,Sabah Lowland Bent-toed Gecko,Cyrtodactylus yoshii,No,Sepilok,7
Frogs & Toads,,Rough Guardian Frog,Limnonectes finchi,No,Sepilok,7
Frogs & Toads,,Nicobar Cricket Frog,Hylarana nicobariensis,No,Sepilok,4
Dragonflies,,Tetrathemis hyalina,Tetrathemis hyalina,No,Sepilok,3
Butterflies,Whites,Orange Gull,Cepora iudith,No,S-PUbin,7
Butterflies,Grass Skippers,Large Dart,Potanthus serina,No,S-PUbin,4
Butterflies,Blues,Small Fourline Blue,Nacaduba pavana,No,S-SBuloh,7
Butterflies,Blues,Tiny Grass Blue,Zizula hylax,No,Perdana,3
Butterflies,Grass Skippers,Hainan Palm Dart,Telicota besta,No,S-MalRes,7
Butterflies,Blues,Ultra Snow Flat,Tagiades ultra,No,S-MalRes,6
Butterflies,Harvesters,Unicolored Darkwing,Allotinus unicolor,No,S-PUbin,16
Butterflies,Grass Skippers,Large Dart,Potanthus serina,No,S-MalRes,3
Snakes,,Spotted Keelback,Xenochrophis maculatus,No,S-MalRes,7
Snakes,,Puff-faced Water Snake,Homalopsis buccata,No,S-MalRes,7
Frogs & Toads,,Black-eyed Litter Frog,Leptobrachium nigrops,No,S-MalRes,7
Dragonflies,,Bombardier,Lyriothemis cleis,No,S-MalRes,7
Dragonflies,,Tetrathemis hyalina,Tetrathemis hyalina,No,S-MalRes,4
Butterflies,Harvesters,Unicolored Darkwing,Allotinus unicolor,No,S-MalRes,3
Frogs & Toads,,Nicobar Cricket Frog,Hylarana nicobariensis,No,Mutiara,3
Mammals,,Bornean Orangutan,Pongo pygmaeus,No,Sepilok,6
Mammals,,Low's Squirrel,Sundasciurus lowii,No,Sepilok,6
Snakes,,Gold-ringed Cat Snake,Boiga dendrophila,No,Sepilok,6
Snakes,,Borneo Pit Viper,Craspedocephalus borneensis,No,Sepilok,6
Butterflies,Satyrs,Malayan Owl,Neorina lowii,No,Sepilok,6
Butterflies,Metalmarks,Malay Punchinello,Zemeros emesoides,No,Sepilok,3
Butterflies,Harvesters,Unicolored Darkwing,Allotinus unicolor,No,Mutiara,4
Butterflies,Milkweed,White Tiger Butterfly,Danaus melanippus,No,S-PUbin,33
Lizards,,Common Four-clawed Gecko,Gehyra mutilata,No,S-PUbin,3
Butterflies,Swallowtails,Banded Swallowtail,Papilio demolion,No,S-SBuloh,6
Butterflies,Grass Skippers,White-tipped Skipper,Erionota acroleuca,No,S-MalRes,8
Frogs & Toads,,Crab-eating Frog,Fejervarya cancrivora,No,S-SBuloh,3
Butterflies,Coeliadinae,Yellow Banded Awl,Hasora schoenherr,No,S-MalRes,18
Butterflies,Grass Skippers,Yellow Grass Dart,Taractrocera archias,No,S-PUbin,4
Butterflies,Grass Skippers,Yellow Grass Dart,Taractrocera archias,No,S-MalRes,16
Butterflies,Grass Skippers,Spotted Flitter,Zographetus doxus,No,S-MalRes,6
Butterflies,Admirals,Dot-Dash Sergeant,Athyma kanwa,No,S-MalRes,6
Butterflies,Grass Skippers,Yellow Palm Dart,Cephrenes trichopepla,No,S-PUbin,11
Butterflies,Admirals,Colonel,Pandita sinope,No,S-MalRes,6
Snakes,,Blue Bronzeback,Dendrelaphis cyanochloris,No,S-MalRes,6
Snakes,,Pink-headed Reed Snake,Calamaria schlegeli,No,S-MalRes,6
Lizards,,Peninsular Round-eyed Gecko,Cnemaspis peninsularis,No,S-MalRes,6
Lizards,,Common Four-clawed Gecko,Gehyra mutilata,No,S-MalRes,3
Frogs & Toads,,Four-ridged Toad,Ingerophrynus quadriporcatus,No,S-MalRes,6
Frogs & Toads,,Johor Tiny Sticky Frog,Kalophrynus limbooliati,No,S-MalRes,6
Frogs & Toads,,Crab-eating Frog,Fejervarya cancrivora,No,S-MalRes,3
Butterflies,Metalmarks,Malay Red Harlequin,Paralaxita damajanti,No,Mutiara,6
Butterflies,Grass Skippers,Dusky Partwing,Psolos fuligo,No,Mutiara,6
Butterflies,Metalmarks,Malay Punchinello,Zemeros emesoides,No,Mutiara,3
Frogs & Toads,,Harlequin Tree Frog,Rhacophorus pardalis,No,Sepilok,5
Butterflies,Satyrs,Malayan Jungle Glory,Thaumantis odana,No,Sepilok,5
Damselflies,,Elattoneura analis,Elattoneura analis,No,Sepilok,5
Butterflies,Hairstreaks,Common Red Flash,Rapala iarbus,No,S-PUbin,5
Snakes,,White-spotted Slug Snake,Pareas margaritophorus,No,S-PUbin,5
Dragonflies,,Pale-spotted Emperor,Anax guttatus,No,S-SBuloh,5
Dragonflies,,Blue Adjutant,Aethriamanta aethra,No,S-SBuloh,5
Butterflies,Grass Skippers,Yellow Palm Dart,Cephrenes trichopepla,No,S-MalRes,6
Butterflies,Hairstreaks,Darky Plushblue,Flos anniella,No,S-MalRes,5
Butterflies,Grass Skippers,Ganda Dart,Potanthus ganda,No,S-MalRes,5
Snakes,,Dog-toothed Cat Snake,Boiga cynodon,No,S-MalRes,5
Snakes,,Cantor's Dwarf Reed Snake,Pseudorabdion longiceps,No,S-MalRes,5
Snakes,,Blackwater Mud Snake,Phytolopsis punctata,No,S-MalRes,5
Lizards,,Singapore Bent-toed Gecko,Cyrtodactylus majulah,No,S-MalRes,5
Frogs & Toads,,Cryptic Painted Frog,Nyctixalus crypticus,No,S-MalRes,5
Dragonflies,,Twister,Tholymis tillarga,No,S-MalRes,5
Damselflies,,Malayan Grisette,Devadatta argyoides,No,S-MalRes,5
Damselflies,,Blue-nosed Sprite,Archibasis melanocyana,No,S-MalRes,5
Butterflies,Swallowtails,Black-and-white Helen Swallowtail,Papilio nephelus,No,Mutiara,5
Butterflies,Metalmarks,Banded Red Harlequin,Paralaxita orphna,No,Mutiara,5
Butterflies,Grass Skippers,Narrow-banded Velvet Bob,Koruthaialos rubecula,No,Mutiara,5
Butterflies,Satyrs,Straight-banded Catseye,Coelites epiminthia,No,Mutiara,5
Dragonflies,,Lyriothemis biappendiculata,Lyriothemis biappendiculata,No,Mutiara,5
Damselflies,,Libellago semiopaca,Libellago semiopaca,No,Mutiara,5
Lizards,,Blue-eyed Anglehead Lizard,Gonocephalus liogaster,No,Mutiara,5
Frogs & Toads,,River Toad,Phrynoidis asper,No,Mutiara,5
Butterflies,Satyrs,Common Bushbrown,Telinga janardana,No,Perdana,5
Dragonflies,,Emerald-flanked Marsh Hawk,Brachydiplax farinosa,No,Perdana,5
Damselflies,,Orange-tailed Sprite,Ceriagrion auranticum,No,Perdana,5
Damselflies,,Coeliccia albicauda,Coeliccia albicauda,No,Perdana,5
